container_key,ibum_id,source_files,first_movement_date,last_movement_date,first_movement_month,last_movement_month,total_receipt_qty,unique_references,unique_product_keys,unique_colors,unique_lotrols,duplicate_lotrol_count,duplicate_qty_excluded,source_file_count,validation_status
47026,47026,REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01-27,2026-01,2026-01,23988.95,2,28,14,906,0,0.0,1,OK
47168,47168,CONTENEDOR FRIA 240 20 FEBRERO.xlsx,2026-02-20,2026-02-20,2026-02,2026-02,23445.7,2,22,11,966,0,0.0,1,OK
47328,47328,REP CONTENEDOR BURDA HEAVY.XLSX | REP CONTENEDOR P200.XLSX | REP CONTENEDOR P310 26F.XLSX | REP CONTENEDOR PIQUE TURQ 26.XLSX | Rep CONTENEDOR INTERLOCK ROLLO IVORY +.XLSX,2026-02-26,2026-03-10,2026-02,2026-03,21731.95,10,36,11,930,0,0.0,5,OK
47528,47528,CONTENEDOR DUBAI SOFT 25 MARZO.xlsx,2026-03-26,2026-03-26,2026-03,2026-03,22281.9,2,22,11,895,0,0.0,1,OK
47529,47529,CONTENEDOR TELA GOLDEN TOUCH  27 MARZO.xlsx,2026-03-27,2026-03-27,2026-03,2026-03,20631.1,2,22,11,870,0,0.0,1,OK
47555,47555,CONTENEDOR FRIA 200 26 MARZO.xlsx,2026-03-26,2026-03-26,2026-03,2026-03,22474.7,2,26,13,1027,0,0.0,1,OK
47874,47874,CONTENEDOR  PERUANA 200 NEGRO 13 MARZO.XLS | CONTENEDOR INTERLOCK 243 13 DE MARZO.XLSX | CONTENEDOR PERUANA 310 13 MARZO.XLSX,2026-03-13,2026-03-16,2026-03,2026-03,14094.48,6,34,12,707,0,0.0,3,OK
47502,47502,REP CONTENEDOR INTERLOCK243 28.XLSX | REP CONTENEDOR PERUANA 200 28.XLSX | REP CONTENEDOR PERUANA 250GRMS.XLSX,2026-04-28,2026-04-28,2026-04,2026-04,15297.99,6,18,7,750,0,0.0,3,OK
48036,48036,CONTENEDOR FRIA 240 26 MAYO.xlsx,2026-05-26,2026-05-26,2026-05,2026-05,23092.7,2,20,10,952,0,0.0,1,OK
48150,48150,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,2026-06-09,2026-06-09,2026-06,2026-06,23287.5,2,26,13,935,30,744.1,1,REVIEW_DUPLICATE_LOTROL
